country,Value
Austria,1
Belgium,1
Bulgaria,1
Croatia,1
Republic of Cyprus,1
Czech Republic,1
Denmark,1
Estonia,1
Finland,1
France,1
Greece,1
Hungry,1
Ireland,1
Italy,1
Latvia,1
Lithuania,1
Luxembourg,1
Poland,1
Portugal,1
Romania,1
Slovenia,1
Spain,1
Sweeden,1
United States of America,1
Japan,1
China,1
United Kingdom,1
India,1
israel,1
Ukraine,1
Russia,1
Iran,1
North Korea,1
South Korea,1
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
